,symbol,open,high,low,close,volume
2020-08-08,BINANCE:BTCDOWNUSDT,5.44,5.75,5.38,5.54,232.2872
2020-08-09,BINANCE:BTCDOWNUSDT,5.51,5.6,5.0,5.12,342.0508
2020-08-10,BINANCE:BTCDOWNUSDT,5.13,6.09,5.04,5.64,430.0647
2020-08-11,BINANCE:BTCDOWNUSDT,5.68,6.09,5.39,5.44,435.879
2020-08-12,BINANCE:BTCDOWNUSDT,5.43,5.85,5.2,5.255,108.2815
2020-08-13,BINANCE:BTCDOWNUSDT,5.24,5.39,5.111,5.263,293.6407
2020-08-14,BINANCE:BTCDOWNUSDT,5.263,5.31,5.0,5.143,327.8487
2020-08-15,BINANCE:BTCDOWNUSDT,5.125,5.343,5.06,5.134,173.4573
2020-08-16,BINANCE:BTCDOWNUSDT,5.105,5.23,4.595,4.755,381.6908
2020-08-17,BINANCE:BTCDOWNUSDT,4.74,5.17,4.677,5.063,405.4147
2020-08-18,BINANCE:BTCDOWNUSDT,5.025,5.589,4.98,5.422,224.6368
2020-08-19,BINANCE:BTCDOWNUSDT,5.414,5.531,5.22,5.28,96.067
2020-08-20,BINANCE:BTCDOWNUSDT,5.28,5.79,5.262,5.674,204.6259
2020-08-21,BINANCE:BTCDOWNUSDT,5.711,5.937,5.471,5.523,110.1032
2020-08-22,BINANCE:BTCDOWNUSDT,5.552,5.764,5.45,5.586,56.6819
2020-08-23,BINANCE:BTCDOWNUSDT,5.59,5.637,5.353,5.426,117.2655
2020-08-24,BINANCE:BTCDOWNUSDT,5.437,6.29,5.392,5.996,375.8887
2020-08-25,BINANCE:BTCDOWNUSDT,5.97,6.11,5.727,5.82,247.5146
2020-08-26,BINANCE:BTCDOWNUSDT,5.835,6.263,5.623,6.025,341.3163
2020-08-27,BINANCE:BTCDOWNUSDT,6.01,6.064,5.669,5.731,78.3454
2020-08-28,BINANCE:BTCDOWNUSDT,5.73,5.859,5.639,5.781,90.449
2020-08-29,BINANCE:BTCDOWNUSDT,5.806,5.855,5.43,5.447,50.6842
2020-08-30,BINANCE:BTCDOWNUSDT,5.433,5.636,5.281,5.487,66.132
2020-08-31,BINANCE:BTCDOWNUSDT,5.514,5.678,4.907,5.112,113.7916
2020-09-01,BINANCE:BTCDOWNUSDT,5.112,6.149,5.058,5.868,191.6146
2020-09-02,BINANCE:BTCDOWNUSDT,5.874,8.2,5.744,7.805,437.5707
2020-09-03,BINANCE:BTCDOWNUSDT,7.805,8.477,6.657,6.901,330.4466
2020-09-04,BINANCE:BTCDOWNUSDT,6.986,7.9,6.775,7.42,193.7543
2020-09-05,BINANCE:BTCDOWNUSDT,7.404,7.72,7.078,7.226,84.6637
2020-09-06,BINANCE:BTCDOWNUSDT,7.29,7.926,7.002,7.15,164.5692
2020-09-07,BINANCE:BTCDOWNUSDT,7.12,7.99,7.0,7.435,305.4366
2020-09-08,BINANCE:BTCDOWNUSDT,7.414,7.718,6.927,7.226,198.6264
2020-09-09,BINANCE:BTCDOWNUSDT,7.226,7.226,6.656,6.942,72.1697
2020-09-10,BINANCE:BTCDOWNUSDT,6.94,7.264,6.85,6.853,86.3358
2020-09-11,BINANCE:BTCDOWNUSDT,6.904,7.11,6.665,6.762,55.9607
2020-09-12,BINANCE:BTCDOWNUSDT,6.813,7.188,6.491,7.033,89.8928
2020-09-13,BINANCE:BTCDOWNUSDT,7.033,7.149,6.272,6.413,116.0422
2020-09-14,BINANCE:BTCDOWNUSDT,6.433,6.46,5.932,6.18,232.5273
2020-09-15,BINANCE:BTCDOWNUSDT,6.201,6.4,5.789,5.978,241.3664
2020-09-16,BINANCE:BTCDOWNUSDT,5.978,6.194,5.849,5.946,230.5762
2020-09-17,BINANCE:BTCDOWNUSDT,5.944,6.123,5.859,5.971,140.7678
2020-09-18,BINANCE:BTCDOWNUSDT,5.954,6.033,5.682,5.77,193.8769
2020-09-19,BINANCE:BTCDOWNUSDT,5.793,6.142,5.77,5.99,157.8262
2020-09-20,BINANCE:BTCDOWNUSDT,5.99,6.676,5.867,6.517,549.3443
2020-09-21,BINANCE:BTCDOWNUSDT,6.52,6.646,6.266,6.38,142.5496
2020-09-22,BINANCE:BTCDOWNUSDT,6.419,7.0,6.369,6.844,289.2503
2020-09-23,BINANCE:BTCDOWNUSDT,6.845,6.934,5.85,5.991,343.1701
2020-09-24,BINANCE:BTCDOWNUSDT,5.99,6.261,5.901,6.083,186.6258
2020-09-25,BINANCE:BTCDOWNUSDT,6.016,6.116,5.85,5.988,58.1947
2020-09-26,BINANCE:BTCDOWNUSDT,5.979,6.206,5.862,5.933,69.4133
2020-09-27,BINANCE:BTCDOWNUSDT,5.916,6.116,5.601,6.005,125.677
2020-09-28,BINANCE:BTCDOWNUSDT,6.049,6.136,5.741,5.837,74.5298
2020-09-29,BINANCE:BTCDOWNUSDT,5.814,6.114,5.81,5.95,50.3448
